ra,dec,mag,ci,name
1.528694,-30.28333,5.82,1.080,
1.565528,59.23194,4.71,1.000,
1.527528,-45.57556,6.17,0.060,
1.548889,-36.86528,5.51,1.020,
1.571278,37.23722,5.88,-0.070,
1.543417,-49.72778,6.28,0.460,
1.561917,-7.02528,5.76,0.640,
1.580306,18.46056,5.89,1.520,
1.577167,-15.67611,5.63,0.070,
1.597917,41.07639,6.38,1.110,
1.580750,-31.89222,6.12,1.110,
1.607556,48.72278,5.92,1.210,
1.596222,14.66139,6.22,-0.040,
1.641917,73.04000,5.28,0.960,
1.598556,17.43361,5.80,0.000,
1.613278,41.40556,4.09,0.540,Titawin
1.599722,-15.40028,5.42,1.210,
1.587556,-58.13944,6.01,0.380,
1.635444,57.97750,5.56,1.380,
1.602333,-29.90750,5.69,0.330,
1.618306,12.14167,5.57,0.350,
1.633222,48.62833,3.57,1.280,Nembus
1.642139,45.40000,6.36,0.040,
1.627139,-9.40389,6.24,0.530,
1.560889,-78.50472,6.11,0.970,
1.612444,-58.27083,6.18,1.610,
1.655833,44.38611,4.98,0.890,
1.670306,53.86833,6.39,1.610,
1.640944,-36.52833,5.94,1.050,
1.628583,-57.23667,0.46,-0.160,Achernar
1.647722,-21.27528,5.58,0.340,
1.661333,16.40583,5.97,1.120,
1.677722,43.29778,5.61,0.210,
1.676333,40.57694,4.94,-0.090,
1.705694,68.04306,5.59,-0.070,
1.715528,70.62250,5.18,-0.040,
1.704944,58.62778,6.37,-0.020,
1.696444,42.61361,4.95,0.620,
1.688444,25.74583,6.17,0.440,
1.694222,30.04722,5.99,1.010,
1.663167,-56.19806,5.87,0.900,p Eridani
1.663278,-56.19472,5.76,0.870,p Eridani
1.716222,61.42167,6.34,0.010,
1.690528,5.48750,4.44,1.360,
1.700972,35.24556,5.64,-0.070,
1.722139,60.55111,5.78,-0.020,
1.695750,-11.32472,5.75,0.440,
1.708278,20.26861,5.24,0.840,
1.690917,-38.13306,6.17,0.420,
1.721250,45.32222,6.34,1.010,
1.727667,50.68861,4.07,-0.040,
1.702389,-32.32694,5.25,1.050,
1.700833,-36.83250,5.72,-0.010,
1.738306,57.53639,6.21,0.100,
1.712083,-3.69028,4.99,1.380,
1.746139,57.08917,6.25,0.040,
1.730556,32.19167,6.34,0.000,
1.740694,46.13972,6.35,0.000,
1.696667,-60.78944,5.71,1.270,
1.708139,-53.74056,5.52,0.530,
1.731889,-4.76556,6.19,1.540,
1.748833,20.08306,6.27,0.750,
1.734472,-15.93750,3.50,0.720,
1.756556,9.15778,4.26,0.960,Torcular
1.795778,63.85222,5.63,0.810,
1.632111,-82.97500,5.87,0.610,
1.766472,-5.73333,5.34,1.520,
1.760778,-25.05250,5.31,0.390,
1.689250,-79.14833,6.33,0.940,
1.766944,-27.34917,6.39,0.360,
1.796667,46.22972,6.32,0.430,
1.768278,-50.81639,5.49,1.600,
1.768417,-53.52194,5.04,0.040,
1.810806,37.95278,5.94,0.970,
1.803028,16.95556,5.84,-0.030,
1.811556,32.69028,5.79,0.550,
1.788000,-41.76000,6.18,1.540,
1.624444,-84.76972,5.69,0.940,
1.821028,47.89694,5.82,0.290,
1.807222,3.68556,5.91,0.970,
1.796611,-37.15972,6.32,1.020,
1.849194,51.93333,5.90,0.430,
1.835694,22.27528,5.86,0.740,
1.826417,-10.68639,4.67,0.330,
1.822083,-31.07278,6.34,1.220,
1.866472,55.14750,5.52,-0.180,
1.847778,11.04333,5.94,0.300,
1.830222,-38.40389,6.37,0.520,
1.869278,50.79278,5.79,-0.070,
1.838944,-47.81639,6.14,1.010,
1.880778,51.47472,6.26,0.000,
1.857667,-10.33500,3.73,1.140,Baten Kaitos
1.896806,55.59806,6.45,0.180,
1.848472,-50.20611,5.94,0.140,
1.906583,63.67000,3.38,-0.150,Segin
1.888139,40.72972,5.40,1.320,
1.884694,29.57889,3.41,0.490,Mothallah
1.892167,19.29583,4.83,0.000,Mesarthim
1.892167,19.29361,4.75,-0.040,Mesarthim
1.881139,-16.92917,5.80,0.270,
1.933333,68.68528,4.99,-0.100,
1.892583,3.18750,4.62,0.940,
1.796250,-80.17667,6.06,0.340,
1.914944,40.70194,6.24,1.250,
1.915972,37.12833,6.26,1.170,
1.910667,20.80806,2.64,0.130,Sheratan
1.889778,-38.59472,6.10,1.120,
1.894111,-46.30250,4.41,1.590,
1.931778,37.27778,5.89,1.630,
1.935917,37.25167,5.67,1.060,
1.906111,-42.49694,5.11,-0.060,
1.930833,23.57722,5.74,1.190,
1.931611,1.84972,6.01,0.560,
1.975917,61.69806,6.02,-0.040,
1.955861,17.81750,5.10,0.920,
1.962167,27.80444,5.82,1.600,
1.944500,-22.52694,4.85,1.420,
1.932639,-51.60889,3.70,0.850,
1.993889,64.62139,5.26,0.010,
1.976000,49.20417,5.69,1.010,
1.965472,23.59611,4.79,0.280,
1.915583,-67.64722,4.69,0.950,
1.929556,-60.86139,6.06,0.370,
2.049222,77.91639,6.04,1.140,
1.950028,-51.76611,6.10,0.480,
1.952778,-47.38500,4.83,0.880,
2.032611,70.90694,4.54,0.160,
1.974083,-33.06667,6.35,1.020,
1.993250,21.05833,5.87,1.030,
1.990528,12.29472,6.09,0.190,
2.052917,73.85056,6.23,0.000,
2.057250,72.42139,3.98,-0.010,
2.085389,77.28139,5.38,0.310,
2.002556,3.09722,5.88,0.620,
1.996139,-20.82444,5.41,1.650,
